C1, 139.83, 29.97, 0.00, 100nF, C0805
C10, 68.58, 53.59, 0.00, 100nF, C0805
C11, 87.25, 51.69, 180.00, 10nF, C0805
C12, 76.20, 53.34, 270.00, 10nF, C0805
C13, 112.40, 64.14, 180.00, 10nF, C0805
C14, 138.43, 47.63, 0.00, 100nF, C0805
C15, 129.79, 52.32, 90.00, 100nF, C0805
C16, 4.45, 40.01, 270.00, 100nF, C0805
C17, 38.10, 45.72, 180.00, 100nF, C0805
C18, 33.02, 48.90, 0.00, 680pF, C0805
C2, 139.83, 27.43, 0.00, 10nF, C0805
C3, 130.56, 26.92, 0.00, 10uF, C0805
C4, 130.56, 30.10, 0.00, 100nF, C0805
C5, 134.37, 29.97, 270.00, 100nF, C0805
C6, 93.09, 35.56, 0.00, 22uF, C0805
C7, 102.23, 41.91, 270.00, 22uF, C0805
C8, 47.75, 33.40, 0.00, 100nF, C0805
C9, 55.37, 32.38, 270.00, 100nF, C0805
D1, 17.78, 67.31, 90.00, SMAJ30CA, DIONM5026X229N
D2, 17.78, 59.69, 90.00, SMAJ30CA, DIONM5026X229N
IC1, 139.70, 35.56, 270.00, INA240A1DR, SOIC127P600X175-8N
IC2, 130.18, 34.29, 90.00, MCP3221A6T-E_OTVAO, SOT95P280X145-5N
IC3, 95.25, 40.64, 180.00, AZ1117IH-3.3TRG1, SOT230P700X170-4N
IC5, 68.58, 50.16, 180.00, ADS1115IDGSR, SOP50P490X110-10N
IC6, 140.34, 52.07, 90.00, ACS712-030B3, SOIC8
IC7, 7.62, 45.09, 180.00, THVD2410DR, SOIC127P600X175-8N
IC8, 37.47, 48.26, 0.00, TMP235AEDCKRQ1, SOT65P210X110-5N
R1, 134.62, 38.73, 90.00, 10k, R0805
R10, 112.40, 60.96, 180.00, 4.7k, R0805
R11, 137.80, 57.15, 270.00, 4.7k, R0805
R12, 13.34, 42.55, 270.00, 10k, M0805
R13, 10.79, 40.01, 270.00, 10k, M0805
R14, 7.62, 49.53, 0.00, 120R, M0805
R15, 133.35, 51.44, 180.00, 1.6k, R0805
R16, 13.46, 46.74, 270.00, 10k, M0805
R17, 33.02, 46.36, 180.00, 4.7k, R0805
R2, 126.87, 37.21, 270.00, 10k, R0805
R3, 134.37, 34.04, 90.00, 680R, R0805
R4, 54.36, 35.81, 0.00, 4.7k, R0805
R5, 90.68, 55.50, 270.00, 220k, R0805
R6, 87.25, 54.48, 180.00, 13.3k, R0805
R7, 76.20, 57.91, 270.00, 330k, R0805
R8, 73.66, 53.34, 270.00, 10k, R0805
R9, 116.21, 66.04, 270.00, 16k, R0805
