"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"PURCHASE-URL";"SPICEPREFIX";
"1";"1.6k";"R-US_R0805";"R0805";"R15";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"R";
"10";"100nF";"C-USC0805";"C0805";"C1, C4, C5, C8, C9, C10, C14, C15, C16, C17";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"C";
"3";"10k";"R-US_M0805";"M0805";"R12, R13, R16";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"45";"";"";"R";
"3";"10k";"R-US_R0805";"R0805";"R1, R2, R8";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"R";
"4";"10nF";"C-USC0805";"C0805";"C2, C11, C12, C13";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"C";
"1";"10uF";"C-USC0805";"C0805";"C3";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"C";
"1";"120R";"R-US_M0805";"M0805";"R14";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"45";"";"";"R";
"1";"13.3k";"R-US_R0805";"R0805";"R6";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"R";
"1";"16k";"R-US_R0805";"R0805";"R9";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"R";
"1";"172042-0406";"172042-0406";"MOLEX_172042-0406";"J1";"Super Sabre™ Vertical Header, 3 Circuit, Short Tail with Board Lock, Complies with the UL1977 finger proof stan";"Warning";" 3 Position Header, Male Blades Connector Solder 0.295 (7.50mm) Through Hole ";"";"";"";"Molex";"";"";"172042-0302";"";"";"";"None";"";"None";"";"";
"1";"220k";"R-US_R0805";"R0805";"R5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"R";
"2";"22uF";"C-USC0805";"C0805";"C6, C7";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"C";
"1";"330k";"R-US_R0805";"R0805";"R7";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"R";
"4";"4.7k";"R-US_R0805";"R0805";"R4, R10, R11, R17";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"R";
"3";"43045-0412";"43045-0412";"43045-0412";"EX1, EX2, EX3";"Headers & Wire Housings 4 CKT VERT HEADER";"";"Headers & Wire Housings 4 CKT VERT HEADER";"mm";"Molex";"43045-0412";"";"538-43045-0412";"https://www.mouser.co.uk/ProductDetail/Molex/43045-0412?qs=UeCeOHRHQebPBbEMDLocEw%3D%3D";"";"";"";"";"";"";"";"";"";
"3";"53259-0229";"53259-0229";"0532590229";"BBANK, MSHUNT, VPV";"Headers & Wire Housings 3.5 WtB Wafer Assy R B Wafer Assy RA 2Ckt";"";"Headers & Wire Housings 3.5 WtB Wafer Assy R B Wafer Assy RA 2Ckt";"7mm";"Molex";"53259-0229";"";"538-53259-0229";"https://www.mouser.co.uk/ProductDetail/Molex/53259-0229?qs=%2Fy5FSpUmAiGN4PmFvaThpA%3D%3D";"";"";"";"";"";"";"";"";"";
"1";"680R";"R-US_R0805";"R0805";"R3";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"R";
"1";"680pF";"C-USC0805";"C0805";"C18";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"C";
"1";"ACS712-030B3";"ACS712-LC";"SOIC8";"IC6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
